Golden State,0.804,,,,,,,
Atlanta,0.694,,,,,,,
Cleveland,0.663,,,,,,,
Houston,0.657,,,,,,,
LA Clippers,0.656,,,,,,,
Memphis,0.656,,,,,,,
San Antonio,0.652,,,,,,,
Portland,0.598,,,,,,,
Chicago,0.596,,,,,,,
Dallas,0.586,,,,,,,
Toronto,0.57,,,,,,,
Washington,0.565,,,,,,,
Okla City,0.549,,,,,,,
New Orleans,0.523,,,,,,,
Milwaukee,0.489,,,,,,,
Phoenix,0.476,,,,,,,
Boston,0.465,,,,,,,
Utah,0.463,,,,,,,
Indiana,0.463,,,,,,,
Brooklyn,0.455,,,,,,,
Miami,0.451,,,,,,,
Charlotte,0.402,,,,,,,
Detroit,0.39,,,,,,,
Denver,0.366,,,,,,,
Sacramento,0.354,,,,,,,
Orlando,0.305,,,,,,,
LA Lakers,0.256,,,,,,,
Philadelphia,0.22,,,,,,,
New York,0.207,,,,,,,
Minnesota,0.195,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
