Atlanta Hawks,0.694
Brooklyn Nets,0.455
Boston Celtics,0.465
Charlotte Hornets,0.402
Chicago Bulls,0.596
Cleveland Cavaliers,0.663
Dallas Mavericks,0.586
Denver Nuggets,0.366
Detroit Pistons,0.39
Golden State Warriors,0.804
Houston Rockets,0.657
Indiana Pacers,0.463
LA Clippers,0.656
Los Angeles Lakers,0.256
Memphis Grizzlies,0.656
Miami Heat,0.451
Milwaukee Bucks,0.489
Minnesota Timberwolves,0.195
New Orleans Pelicans,0.523
New York Knikcs,0.207
Oklahoma City Thunder,0.549
Orlando Magic,0.305
Philadelphia 76ers,0.22
Phoenix Suns,0.476
Portland Trail Blazers,0.598
San Antonio Spurs,0.652
Sacramento Kings,0.354
Toronto Raptors,0.57
Utah Jazz,0.463
Washington Wizards,0.565
