"Giannis Antetokounmpo, MIL",32.93,,,,,,,,,,,,
"James Harden, HOU",31.54,,,,,,,,,,,,
"Mitchell Robinson, NY",31,,,,,,,,,,,,
"Luka Doncic, DAL",30.85,,,,,,,,,,,,
"Karl-Anthony Towns, MIN",30.41,,,,,,,,,,,,
"LeBron James, LAL",28.53,,,,,,,,,,,,
"Ivica Zubac, LAC",27.62,,,,,,,,,,,,
"Joel Embiid, PHI",26.88,,,,,,,,,,,,
"Anthony Davis, LAL",26.71,,,,,,,,,,,,
"Kawhi Leonard, LAC",26.42,,,,,,,,,,,,
"Kyrie Irving, BKN",26.31,,,,,,,,,,,,
"Damian Lillard, POR",25.93,,,,,,,,,,,,
"Montrezl Harrell, LAC",24.5,,,,,,,,,,,,
"Trae Young, ATL",24.41,,,,,,,,,,,,
"Jimmy Butler, MIA",24.01,,,,,,,,,,,,
"Brandon Ingram, NO",23.9,,,,,,,,,,,,
"Andre Drummond, DET",23.9,,,,,,,,,,,,
"Derrick Rose, DET",23.84,,,,,,,,,,,,
"Bradley Beal, WSH",23.55,,,,,,,,,,,,
"Hassan Whiteside, POR",23.41,,,,,,,,,,,,
"Malcolm Brogdon, IND",22.77,,,,,,,,,,,,
"Brandon Clarke, MEM",22.76,,,,,,,,,,,,
"Nikola Vucevic, ORL",22.67,,,,,,,,,,,,
"Kemba Walker, BOS",22.52,,,,,,,,,,,,
"Clint Capela, HOU",22.52,,,,,,,,,,,,
"Aron Baynes, PHX",22.48,,,,,,,,,,,,
"Andrew Wiggins, MIN",22.35,,,,,,,,,,,,
"Gordon Hayward, BOS",22.31,,,,,,,,,,,,
"D'Angelo Russell, GS",22.15,,,,,,,,,,,,
"Moritz Wagner, WSH",22.13,,,,,,,,,,,,
"JaVale McGee, LAL",21.97,,,,,,,,,,,,
"Donovan Mitchell, UTAH",21.86,,,,,,,,,,,,
"Nerlens Noel, OKC",21.78,,,,,,,,,,,,
"Gorgui Dieng, MIN",21.56,,,,,,,,,,,,
"Stephen Curry, GS",21.55,,,,,,,,,,,,
"Robert Williams III, BOS",21.16,,,,,,,,,,,,
"Christian Wood, DET",21.16,,,,,,,,,,,,
"Chris Silva, MIA",21.02,,,,,,,,,,,,
"Tristan Thompson, CLE",21,,,,,,,,,,,,
"Jahlil Okafor, NO",20.98,,,,,,,,,,,,
"Domantas Sabonis, IND",20.92,,,,,,,,,,,,
"Bam Adebayo, MIA",20.92,,,,,,,,,,,,
"John Collins, ATL",20.87,,,,,,,,,,,,
"Kevin Love, CLE",20.71,,,,,,,,,,,,
"Danilo Gallinari, OKC",20.68,,,,,,,,,,,,
"Rondae Hollis-Jefferson, TOR",20.61,,,,,,,,,,,,
"Chris Paul, OKC",20.6,,,,,,,,,,,,
"Enes Kanter, BOS",20.56,,,,,,,,,,,,
"Devin Booker, PHX",20.48,,,,,,,,,,,,
"LaMarcus Aldridge, SA",20.43,,,,,,,,,,,,
"Paul Millsap, DEN",20.43,,,,,,,,,,,,
"Nikola Jokic, DEN",20.42,,,,,,,,,,,,
"Kyle Lowry, TOR",20.13,,,,,,,,,,,,
"Lou Williams, LAC",20.12,,,,,,,,,,,,
"Pascal Siakam, TOR",20.01,,,,,,,,,,,,
"Jabari Parker, ATL",20,,,,,,,,,,,,
"Jordan Clarkson, CLE",19.98,,,,,,,,,,,,
"Thomas Bryant, WSH",19.82,,,,,,,,,,,,
"Derrick Favors, NO",19.66,,,,,,,,,,,,
"DeAndre Jordan, BKN",19.6,,,,,,,,,,,,
"Richaun Holmes, SAC",19.59,,,,,,,,,,,,
"Rudy Gay, SA",19.49,,,,,,,,,,,,
"Jaxson Hayes, NO",19.47,,,,,,,,,,,,
"DeMar DeRozan, SA",19.34,,,,,,,,,,,,
"Rudy Gobert, UTAH",19.32,,,,,,,,,,,,
"Chris Boucher, TOR",19.3,,,,,,,,,,,,
"Eric Bledsoe, MIL",19.2,,,,,,,,,,,,
"Jaylen Brown, BOS",19.16,,,,,,,,,,,,
"Russell Westbrook, HOU",19.02,,,,,,,,,,,,
"Dejounte Murray, SA",19.01,,,,,,,,,,,,
"Nemanja Bjelica, SAC",18.96,,,,,,,,,,,,
"Cody Zeller, CHA",18.87,,,,,,,,,,,,
"Mason Plumlee, DEN",18.85,,,,,,,,,,,,
"Willie Cauley-Stein, GS",18.84,,,,,,,,,,,,
"Evan Fournier, ORL",18.72,,,,,,,,,,,,
"Bogdan Bogdanovic, SAC",18.67,,,,,,,,,,,,
"Jeff Teague, MIN",18.56,,,,,,,,,,,,
"Devonte' Graham, CHA",18.5,,,,,,,,,,,,
"Jamal Murray, DEN",18.47,,,,,,,,,,,,
"Wendell Carter Jr., CHI",18.45,,,,,,,,,,,,
"Jonathan Isaac, ORL",18.41,,,,,,,,,,,,
"Serge Ibaka, TOR",18.34,,,,,,,,,,,,
"Delon Wright, DAL",18.09,,,,,,,,,,,,
"Jakob Poeltl, SA",18.04,,,,,,,,,,,,
"Larry Nance Jr., CLE",17.95,,,,,,,,,,,,
