Russell Westbrook,OKC,30.7
Kevin Durant,GS,27.68
Kawhi Leonard,SA,27.62
Anthony Davis,NO,27.59
James Harden,HOU,27.43
LeBron James,CLE,27.11
Isaiah Thomas,BOS,26.59
Nikola Jokic,DEN,26.4
Chris Paul,LAC,26.25
Giannis Antetokounmpo,MIL,26.13
Karl-Anthony Towns,MIN,26.0
DeMarcus Cousins,NO/SAC,25.84
JaVale McGee,GS,25.26
Jimmy Butler,CHI,25.19
Stephen Curry,GS,24.74
Damian Lillard,POR,24.15
Joel Embiid,PHI,24.15
DeMar DeRozan,TOR,24.09
Enes Kanter,OKC,23.74
Rudy Gobert,UTAH,23.31
John Wall,WSH,23.28
Mike Conley,MEM,23.26
Kyrie Irving,CLE,23.09
Kyle Lowry,TOR,22.92
Blake Griffin,LAC,22.71
Hassan Whiteside,MIA,22.68
Gordon Hayward,UTAH,22.23
DeAndre Jordan,LAC,21.84
Clint Capela,HOU,21.48
Lou Williams,HOU/LAL,21.44
Kemba Walker,CHA,21.41
Greg Monroe,MIL,21.23
Kevin Love,CLE,21.18
Andre Drummond,DET,20.91
Dwight Howard,ATL,20.89
Kyle O'Quinn,NY,20.59
Eric Bledsoe,PHX,20.56
Brook Lopez,BKN,20.48
Nerlens Noel,DAL/PHI,20.4
Kenneth Faried,DEN,20.36
Marc Gasol,MEM,20.32
Paul George,IND,20.3
Pau Gasol,SA,20.23
Bradley Beal,WSH,20.21
Jonas Valanciunas,TOR,20.13
CJ McCollum,POR,19.99
Goran Dragic,MIA,19.84
Brandon Bass,LAC,19.71
Alan Williams,PHX,19.59
George Hill,UTAH,19.38
Jeremy Lin,BKN,19.33
Jeff Teague,IND,19.24
Montrezl Harrell,HOU,19.23
Nikola Vucevic,ORL,19.19
Jabari Parker,MIL,19.15
Willy Hernangomez,NY,19.0
Al Jefferson,IND,18.96
Nene?,HOU,18.91
LaMarcus Aldridge,SA,18.66
Richaun Holmes,PHI,18.61
Zach Randolph,MEM,18.58
Dwyane Wade,CHI,18.55
Myles Turner,IND,18.51
David Lee,SA,18.48
Mason Plumlee,DEN/POR,18.18
Carmelo Anthony,NY,17.96
Rudy Gay,SAC,17.95
Paul Millsap,ATL,17.91
Michael Beasley,MIL,17.91
Al Horford,BOS,17.77
Dwight Powell,DAL,17.66
Marreese Speights,LAC,17.62
Jusuf Nurkic,DEN/POR,17.57
Klay Thompson,GS,17.53
