Toronto Raptors,0.72
Boston Celtics,0.671
Philadelphia 76ers,0.634
Cleveland Cavaliers ,0.61
Indiana Pacers,0.585
Miami Heat,0.537
Milwaukee Bucks,0.537
Washington Wizards,0.524
Detroit Pistons,0.476
Charlotte Hornets,0.439
New York Knicks,0.354
Brooklyn Nets,0.341
Chicago Bulls,0.329
Orlando Magic,0.305
Atlanta Hawks,0.293
Houston Rockets,0.793
Golden State Warriors,0.707
Portland Trail Blazers,0.598
Oklahoma City Thunder,0.585
Utah Jazz,0.585
New Orleans Pelicans,0.585
San Antonio Spurs,0.573
Minnesota Timberwolves,0.573
Denver Nuggets,0.561
Los Angeles Clippers,0.512
Los Angeles Lakers,0.427
Sacramento Kings,0.329
Dallas Mavericks,0.293
Memphis Grizzlies,0.268
Phoenix Suns,0.256
