Giannis Antetokounmpo,MIL,30.95
James Harden,HOU,30.62
Anthony Davis,NO,30.32
Karl-Anthony Towns,MIN,26.38
Nikola Jokic,DEN,26.38
Joel Embiid,PHI,26.21
Kawhi Leonard,TOR,25.89
LeBron James,LAL,25.64
Nikola Vucevic,ORL,25.53
Rudy Gobert,UTAH,24.6
Jonas Valanciunas,TOR/MEM,24.47
Stephen Curry,GS,24.45
Kyrie Irving,BOS,24.37
Kevin Durant,GS,24.26
Boban Marjanovic,LAC/PHI,24.25
Clint Capela,HOU,23.84
Damian Lillard,POR,23.78
Hassan Whiteside,MIA,23.52
Andre Drummond,DET,23.49
Montrezl Harrell,LAC,23.44
Jusuf Nurkic,POR,23.41
Paul George,OKC,23.32
LaMarcus Aldridge,SA,22.98
Enes Kanter,NY/POR,22.36
Mitchell Robinson,NY,22.01
Domantas Sabonis,IND,21.99
Derrick Favors,UTAH,21.89
JaVale McGee,LAL,21.88
John Collins,ATL,21.85
Kemba Walker,CHA,21.72
Kenneth Faried,HOU/BKN,21.62
Mike Conley,MEM,21.46
DeMarcus Cousins,GS,21.44
Lou Williams,LAC,21.3
Russell Westbrook,OKC,21.14
Thomas Bryant,WSH,21.02
Danilo Gallinari,LAC,21.02
Julius Randle,NO,21.02
Blake Griffin,DET,21.02
Bradley Beal,WSH,20.84
Richaun Holmes,PHX,20.72
Deandre Ayton,PHX,20.54
Dwight Powell,DAL,20.45
Willy Hernangomez,CHA,20.41
Devin Booker,PHX,20.3
Jimmy Butler,MIN/PHI,20.29
Al Horford,BOS,20.21
Ben Simmons,PHI,20.07
Chris Paul,HOU,19.71
DeMar DeRozan,SA,19.61
Luka Doncic,DAL,19.61
Derrick Rose,MIN,19.52
Kevin Love,CLE,19.5
D'Angelo Russell,BKN,19.48
Jrue Holiday,NO,19.43
Jakob Poeltl,SA,19.38
Nerlens Noel,OKC,19.32
Eric Bledsoe,MIL,19.31
Khem Birch,ORL,19.19
DeAndre Jordan,DAL/NY,19.04
Marvin Bagley III,SAC,18.93
Ivica Zubac,LAC/LAL,18.92
Serge Ibaka,TOR,18.8
Zach LaVine,CHI,18.79
Pascal Siakam,TOR,18.74
Joakim Noah,MEM,18.63
Larry Nance Jr.,CLE,18.58
Jarrett Allen,BKN,18.57
Steven Adams,OKC,18.55
Tristan Thompson,CLE,18.45
De'Aaron Fox,SAC,18.18
Gorgui Dieng,MIN,18.17
Myles Turner,IND,18.1
John Wall,WSH,18.09
Jahlil Okafor,NO,18.0
Willie Cauley-Stein,SAC,18.0
Paul Millsap,DEN,17.95
Bam Adebayo,MIA,17.9
Mason Plumlee,DEN,17.88
Taj Gibson,MIN,17.85
Malcolm Brogdon,MIL,17.84
Victor Oladipo,IND,17.68
Buddy Hield,SAC,17.6
Cheick Diallo,NO,17.56
Rudy Gay,SA,17.54
Kevon Looney,GS,17.38
Jeremy Lamb,CHA,17.38
Tobias Harris,LAC/PHI,17.3
Ed Davis,BKN,17.28
Alex Len,ATL,17.27
Donovan Mitchell,UTAH,17.26
Cody Zeller,CHA,17.25
Nikola Mirotic,NO/MIL,17.23
Lauri Markkanen,CHI,17.16
Daniel Theis,BOS,17.07
CJ McCollum,POR,17.05
Trae Young,ATL,17.03
T.J. Leaf,IND,16.98
Frank Kaminsky,CHA,16.88
Jordan Clarkson,CLE,16.84
Darren Collison,IND,16.74
Klay Thompson,GS,16.7
Marc Gasol,TOR/MEM,16.69
Khris Middleton,MIL,16.55
Trey Burke,DAL/NY,16.53
Kyle Lowry,TOR,16.51
Jaren Jackson Jr.,MEM,16.43
T.J. Warren,PHX,16.36
J.J. Barea,DAL,16.36
Spencer Dinwiddie,BKN,16.32
Monte Morris,DEN,16.3
Thaddeus Young,IND,16.28
Ante Zizic,CLE,16.28
Bojan Bogdanovic,IND,16.14
Ivan Rabb,MEM,16.13
Bobby Portis,CHI/WSH,16.12
Jamal Murray,DEN,16.11
Dewayne Dedmon,ATL,16.06
Robin Lopez,CHI,15.9
Otto Porter Jr.,CHI/WSH,15.9
Dwyane Wade,MIA,15.86
Meyers Leonard,POR,15.84
Omri Casspi,MEM,15.78
D.J. Augustin,ORL,15.72
Gordon Hayward,BOS,15.62
Jabari Parker,CHI/WSH,15.57
Delon Wright,TOR/MEM,15.54
Terrence Ross,ORL,15.45
Jeff Teague,MIN,15.43
Tony Parker,CHA,15.4
Nemanja Bjelica,SAC,15.4
Shabazz Napier,BKN,15.31
Wendell Carter Jr.,CHI,15.28
Reggie Jackson,DET,15.22
Kelly Oubre Jr.,PHX/WSH,15.22
Aaron Gordon,ORL,15.18
JJ Redick,PHI,15.15
Jayson Tatum,BOS,15.13
Mo Bamba,ORL,14.92
Caris LeVert,BKN,14.92
Derrick White,SA,14.85
Luke Kornet,NY,14.78
JaMychal Green,LAC/MEM,14.75
Emmanuel Mudiay,NY,14.62
Brook Lopez,MIL,14.59
Bismack Biyombo,CHA,14.43
Harry Giles III,SAC,14.42
Kelly Olynyk,MIA,14.4
Marcus Morris Sr.,BOS,14.28
Malik Beasley,DEN,14.21
Tomas Satoransky,WSH,14.14
Bogdan Bogdanovic,SAC,14.12
Derrick Jones Jr.,MIA,14.07
Aron Baynes,BOS,14.06
Kyle Kuzma,LAL,14.05
Elfrid Payton,NO,14.02
Ricky Rubio,UTAH,14.01
Josh Richardson,MIA,14.01
Goran Dragic,MIA,13.99
Noah Vonleh,NY,13.94
Alex Caruso,LAL,13.9
Jerami Grant,OKC,13.87
Fred VanVleet,TOR,13.73
Tyus Jones,MIN,13.7
Zaza Pachulia,DET,13.69
Tim Hardaway Jr.,DAL/NY,13.66
Jeff Green,WSH,13.66
Pat Connaughton,MIL,13.6
Jeremy Lin,ATL/TOR,13.58
Jaylen Brown,BOS,13.58
Joe Harris,BKN,13.56
Zach Collins,POR,13.56
Jake Layman,POR,13.52
Jonas Jerebko,GS,13.49
Brandon Ingram,LAL,13.48
Joe Ingles,UTAH,13.46
Shai Gilgeous-Alexander,LAC,13.45
T.J. McConnell,PHI,13.41
Cristiano Felicio,CHI,13.39
Sam Dekker,CLE/WSH,13.38
Michael Kidd-Gilchrist,CHA,13.37
Robert Covington,MIN/PHI,13.36
Norman Powell,TOR,13.35
Maurice Harkless,POR,13.25
Patty Mills,SA,13.19
Al-Farouq Aminu,POR,13.18
Quinn Cook,GS,13.13
Miles Bridges,CHA,13.13
Dario Saric,MIN/PHI,13.12
